id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
13749314,Desconexión y paz en la Mallorca natural y real,66910673,Carlos,,Artà,39.694828704634325,3.351749976901016,Private room,50,2,1,2016-09-06,0.16,6,270
7195567,HERMOSA FINCA CON CASA DE CAMPO,24404232,Mpc,,Artà,39.70786864737593,3.3318640465702445,Entire home/apt,370,5,1,2015-11-29,0.06,19,239
13159769,"Finca in Arta, near beautiful beaches 8 people",33963368,Carolina,,Artà,39.6981323271288,3.329031892971011,Entire home/apt,267,7,0,,,53,103
16999633,"Liebe zum Speziellen - Kleinen, Feinen",2835584,Vera,,Artà,39.68890595583144,3.3517482668746554,Private room,30,1,0,,,2,145
8447264,CABRERET - 1093,3625030,Angela,,Artà,39.737872092339174,3.2779444410785894,Entire home/apt,149,7,0,,,752,228
5399883,ARTA Casa Sol -huge terrasse nature,2746342,Kay,,Artà,39.697731822261936,3.3485022995209945,Entire home/apt,89,14,0,,,1,363
13748563,Perfecta casa para desconectar y disfrutar de Artà,66910673,Carlos,,Artà,39.695185024195496,3.350818525816215,Private room,50,2,0,,,6,284
14482347,Charming Villa Mallorca,13037263,Alain,,Artà,39.75119414372007,3.3160246921115544,Entire home/apt,130,6,0,,,1,166
13952610,Unterkunft zw. Meer&Bergen in ruhiger Lage,83067303,Gabriela,,Artà,39.75396087658938,3.318293173764166,Private room,120,7,5,2016-09-10,0.61,1,203
14861751,Es cantonet,3625030,Angela,,Artà,39.73731531317627,3.2808375828008827,Entire home/apt,64,7,0,,,752,194
6112685,Große Luxus Finca bei Arta,3209220,Luxus Feriendomizile,,Artà,39.68935449126685,3.3681887027201345,Entire home/apt,808,5,1,2016-07-16,0.12,2,363
16607050,House in field with pool in Artà,10423099,Maria Jose,,Artà,39.68868895609957,3.3358086565390948,Entire home/apt,95,5,0,,,15,139
13920318,Cozy modern duplex,82635357,Rafel,,Artà,39.7368838977908,3.280992737121816,Entire home/apt,150,3,0,,,1,0
16672924,PERFECT PLACE TO RELAX,13317939,Lilly,,Artà,39.679165885794454,3.318175595122001,Shared room,12,1,4,2017-03-15,2.14,2,220
9103541,WINTER CYCLISTS Luxurious Sea Front Villa Mallorca,1894732,Weekend Away,,Artà,39.7556443776099,3.3135557652817047,Entire home/apt,420,5,0,,,49,254
2373473,House over Alcudia Bay views,12124644,María,,Artà,39.73702333640059,3.2781317169568385,Entire home/apt,95,4,18,2016-10-29,0.53,3,119
1010652,Ca Na Molí,5433086,María,,Artà,39.73995341880949,3.3979975478500712,Entire home/apt,150,7,1,2013-07-04,0.02,87,108
7629922,FINCA BELLPUIG,29095214,Bel,,Artà,39.682672684672866,3.3453186737728178,Entire home/apt,500,7,2,2016-08-13,0.11,31,281
3918005,Sastre - Beautifull house in Colonia de San Pere,3296019,Marc,,Artà,39.7305919901935,3.2755661341506657,Entire home/apt,135,5,0,,,87,318
15953034,Villa Colonia,103552215,Fátima,,Artà,39.73253391177657,3.274095214444221,Entire home/apt,142,1,5,,0.59,33,126
